
			+-------------+
Decimal Value: 153	Hex Value: 0x99		Char Value: ô
Decimal Value: 154	Hex Value: 0x9a		Char Value: ö
Decimal Value: 155	Hex Value: 0x9b		Char Value: õ
Decimal Value: 156	Hex Value: 0x9c		Char Value: ú
Decimal Value: 157	Hex Value: 0x9d		Char Value: ù
Decimal Value: 158	Hex Value: 0x9e		Char Value: û
Decimal Value: 159	Hex Value: 0x9f		Char Value: ü
Decimal Value: 160	Hex Value: 0xa0		Char Value: †
Decimal Value: 161	Hex Value: 0xa1		Char Value: °
Decimal Value: 162	Hex Value: 0xa2		Char Value: ¢
Decimal Value: 163	Hex Value: 0xa3		Char Value: £
Decimal Value: 164	Hex Value: 0xa4		Char Value: §
Decimal Value: 165	Hex Value: 0xa5		Char Value: •
Decimal Value: 166	Hex Value: 0xa6		Char Value: ¶
Decimal Value: 167	Hex Value: 0xa7		Char Value: ß
Decimal Value: 168	Hex Value: 0xa8		Char Value: ®
Decimal Value: 169	Hex Value: 0xa9		Char Value: ©
Decimal Value: 170	Hex Value: 0xaa		Char Value: ™
Decimal Value: 171	Hex Value: 0xab		Char Value: ´
Decimal Value: 172	Hex Value: 0xac		Char Value: ¨
Decimal Value: 173	Hex Value: 0xad		Char Value: ≠
Decimal Value: 174	Hex Value: 0xae		Char Value: Æ
Decimal Value: 175	Hex Value: 0xaf		Char Value: Ø
Decimal Value: 176	Hex Value: 0xb0		Char Value: ∞
Decimal Value: 177	Hex Value: 0xb1		Char Value: ±
Decimal Value: 178	Hex Value: 0xb2		Char Value: ≤
Decimal Value: 179	Hex Value: 0xb3		Char Value: ≥
Decimal Value: 180	Hex Value: 0xb4		Char Value: ¥
Decimal Value: 181	Hex Value: 0xb5		Char Value: µ
Decimal Value: 182	Hex Value: 0xb6		Char Value: ∂
Decimal Value: 183	Hex Value: 0xb7		Char Value: ∑
Decimal Value: 184	Hex Value: 0xb8		Char Value: ∏
Decimal Value: 185	Hex Value: 0xb9		Char Value: π
Decimal Value: 186	Hex Value: 0xba		Char Value: ∫
Decimal Value: 187	Hex Value: 0xbb		Char Value: ª
Decimal Value: 188	Hex Value: 0xbc		Char Value: º
Decimal Value: 189	Hex Value: 0xbd		Char Value: Ω
Decimal Value: 190	Hex Value: 0xbe		Char Value: æ
Decimal Value: 191	Hex Value: 0xbf		Char Value: ø
Decimal Value: 192	Hex Value: 0xc0		Char Value: ¿
Decimal Value: 193	Hex Value: 0xc1		Char Value: ¡
Decimal Value: 194	Hex Value: 0xc2		Char Value: ¬
Decimal Value: 195	Hex Value: 0xc3		Char Value: √
Decimal Value: 196	Hex Value: 0xc4		Char Value: ƒ
Decimal Value: 197	Hex Value: 0xc5		Char Value: ≈
Decimal Value: 198	Hex Value: 0xc6		Char Value: ∆
Decimal Value: 199	Hex Value: 0xc7		Char Value: «
Decimal Value: 200	Hex Value: 0xc8		Char Value: »
Decimal Value: 201	Hex Value: 0xc9		Char Value: …
Decimal Value: 202	Hex Value: 0xca		Char Value:  
Decimal Value: 203	Hex Value: 0xcb		Char Value: À
Decimal Value: 204	Hex Value: 0xcc		Char Value: Ã
Decimal Value: 205	Hex Value: 0xcd		Char Value: Õ
Decimal Value: 206	Hex Value: 0xce		Char Value: Œ
Decimal Value: 207	Hex Value: 0xcf		Char Value: œ
Decimal Value: 208	Hex Value: 0xd0		Char Value: –
Decimal Value: 209	Hex Value: 0xd1		Char Value: —
Decimal Value: 210	Hex Value: 0xd2		Char Value: “
Decimal Value: 211	Hex Value: 0xd3		Char Value: ”
Decimal Value: 212	Hex Value: 0xd4		Char Value: ‘
Decimal Value: 213	Hex Value: 0xd5		Char Value: ’
Decimal Value: 214	Hex Value: 0xd6		Char Value: ÷
Decimal Value: 215	Hex Value: 0xd7		Char Value: ◊
Decimal Value: 216	Hex Value: 0xd8		Char Value: ÿ
Decimal Value: 217	Hex Value: 0xd9		Char Value: Ÿ
Decimal Value: 218	Hex Value: 0xda		Char Value: ⁄
Decimal Value: 219	Hex Value: 0xdb		Char Value: €
Decimal Value: 220	Hex Value: 0xdc		Char Value: ‹
Decimal Value: 221	Hex Value: 0xdd		Char Value: ›
Decimal Value: 222	Hex Value: 0xde		Char Value: ﬁ
Decimal Value: 223	Hex Value: 0xdf		Char Value: ﬂ
Decimal Value: 224	Hex Value: 0xe0		Char Value: ‡
Decimal Value: 225	Hex Value: 0xe1		Char Value: ·
Decimal Value: 226	Hex Value: 0xe2		Char Value: ‚
Decimal Value: 227	Hex Value: 0xe3		Char Value: „
Decimal Value: 228	Hex Value: 0xe4		Char Value: ‰
Decimal Value: 229	Hex Value: 0xe5		Char Value: Â
Decimal Value: 230	Hex Value: 0xe6		Char Value: Ê
Decimal Value: 231	Hex Value: 0xe7		Char Value: Á
Decimal Value: 232	Hex Value: 0xe8		Char Value: Ë
Decimal Value: 233	Hex Value: 0xe9		Char Value: È
Decimal Value: 234	Hex Value: 0xea		Char Value: Í
Decimal Value: 235	Hex Value: 0xeb		Char Value: Î
Decimal Value: 236	Hex Value: 0xec		Char Value: Ï
Decimal Value: 237	Hex Value: 0xed		Char Value: Ì
Decimal Value: 238	Hex Value: 0xee		Char Value: Ó
Decimal Value: 239	Hex Value: 0xef		Char Value: Ô
Decimal Value: 240	Hex Value: 0xf0		Char Value: 
Decimal Value: 241	Hex Value: 0xf1		Char Value: Ò
Decimal Value: 242	Hex Value: 0xf2		Char Value: Ú
Decimal Value: 243	Hex Value: 0xf3		Char Value: Û
Decimal Value: 244	Hex Value: 0xf4		Char Value: Ù
Decimal Value: 245	Hex Value: 0xf5		Char Value: ı
Decimal Value: 246	Hex Value: 0xf6		Char Value: ˆ
Decimal Value: 247	Hex Value: 0xf7		Char Value: ˜
Decimal Value: 248	Hex Value: 0xf8		Char Value: ¯
Decimal Value: 249	Hex Value: 0xf9		Char Value: ˘
Decimal Value: 250	Hex Value: 0xfa		Char Value: ˙
Decimal Value: 251	Hex Value: 0xfb		Char Value: ˚
Decimal Value: 252	Hex Value: 0xfc		Char Value: ¸
Decimal Value: 253	Hex Value: 0xfd		Char Value: ˝
Decimal Value: 254	Hex Value: 0xfe		Char Value: ˛
Decimal Value: 255	Hex Value: 0xff		Char Value: ˇ
